score_name,description,path,top1,top20
text_all,Mean generated-text-prefix attention over all generated steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_text_all.json,L15H11,L15H11 L13H8 L14H20 L16H9 L19H16 L16H3 L17H28 L15H25 L19H18 L19H27 L20H20 L14H16 L17H15 L16H31 L16H2 L16H22 L15H4 L15H10 L15H9 L14H29
itext_all,Mean intervention text-slice attention over all generated steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_itext_all.json,L15H11,L15H11 L14H16 L13H8 L14H20 L13H17 L16H9 L19H16 L16H3 L16H6 L19H18 L17H28 L15H25 L20H20 L19H27 L16H2 L17H15 L16H31 L16H22 L15H9 L15H4
text_hall,Mean generated-text-prefix attention on hallucinated object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_text_hall.json,L14H20,L14H20 L13H8 L16H9 L15H28 L14H16 L17H24 L16H21 L16H12 L19H0 L15H25 L19H18 L15H11 L16H17 L14H22 L15H16 L16H2 L16H15 L14H21 L17H28 L13H10
text_object,Mean generated-text-prefix attention on object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_text_object.json,L13H8,L13H8 L17H24 L14H20 L16H21 L16H9 L16H12 L19H0 L15H11 L16H15 L15H28 L17H28 L16H11 L15H25 L19H18 L14H16 L14H14 L15H16 L19H16 L14H22 L17H14
ratio_all,Mean-level T/(T+I) over all generated steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_ratio_all.json,L15H11,L15H11 L13H8 L19H16 L15H25 L17H15 L16H11 L14H22 L18H2 L14H14 L17H17 L15H16 L15H9 L16H12 L16H15 L13H26 L17H28 L16H8 L15H4 L19H0 L18H21
ratio_hall,Mean-level T/(T+I) on hallucinated object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_ratio_hall.json,L13H8,L13H8 L19H0 L14H22 L16H15 L16H12 L17H17 L15H28 L17H15 L16H11 L19H16 L16H8 L15H16 L15H25 L13H26 L14H14 L14H16 L18H2 L15H11 L19H27 L15H4
logtoi_hall,"Log text-over-image ratio on hallucinated object steps, from mean masses.",./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_logtoi_hall.json,L13H8,L13H8 L19H0 L14H22 L16H15 L16H12 L17H17 L15H28 L17H15 L16H11 L19H16 L16H8 L15H16 L15H25 L13H26 L14H14 L14H16 L18H2 L15H11 L19H27 L15H4
low_image_hall,Heads that pay little image attention on hallucinated object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_low_image_hall.json,L19H17,L19H17 L17H17 L18H29 L14H6 L19H0 L13H8 L14H22 L16H8 L17H15 L16H15 L13H26 L18H6 L15H3 L19H25 L18H0 L16H11 L19H16 L16H12 L18H3 L19H20
C_text_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in text-prefix attention.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_C_text_hall_minus_nonhall.json,L13H19,L13H19 L14H7 L13H10 L14H16 L16H17 L13H20 L15H5 L20H12 L13H7 L15H7 L18H31 L18H9 L15H28 L16H4 L16H30 L19H29 L20H22 L15H24 L19H13 L16H29
C_ratio_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in T/(T+I).,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_C_ratio_hall_minus_nonhall.json,L16H30,L16H30 L20H30 L19H15 L18H31 L19H31 L14H7 L16H17 L20H28 L15H5 L20H12 L19H6 L20H3 L19H21 L15H14 L17H31 L15H19 L16H1 L19H8 L19H12 L17H2
C_logtoi_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in log text-over-image.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_C_logtoi_hall_minus_nonhall.json,L18H23,L18H23 L19H31 L13H19 L15H13 L16H17 L18H31 L14H7 L14H20 L15H31 L15H5 L16H30 L19H26 L17H31 L16H2 L15H14 L19H13 L15H22 L14H1 L17H27 L15H19
C_itext_hall_minus_nonhall,Positive hallucinated minus grounded object contrast in intervention text-slice mass.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_C_itext_hall_minus_nonhall.json,L13H19,L13H19 L13H10 L14H7 L13H20 L16H17 L13H7 L15H7 L20H12 L18H31 L18H9 L15H5 L16H30 L19H29 L16H4 L15H28 L16H29 L19H13 L14H1 L19H31 L16H0
C_image_drop_nonhall_minus_hall,Image-attention drop from grounded to hallucinated object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_C_image_drop_nonhall_minus_hall.json,L17H13,L17H13 L16H17 L17H18 L20H12 L20H0 L20H11 L17H30 L20H30 L15H5 L20H3 L16H5 L18H31 L15H27 L19H19 L19H31 L15H14 L19H15 L20H1 L16H13 L17H0
RelC_text_hall_minus_nonhall,Relative contrast in text-prefix attention: delta/(hall+grounded).,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_RelC_text_hall_minus_nonhall.json,L16H1,L16H1 L13H19 L14H1 L14H7 L16H30 L13H7 L19H12 L20H25 L16H0 L19H29 L20H19 L15H15 L16H19 L20H2 L20H23 L14H6 L16H27 L13H20 L17H3 L15H17
RelC_ratio_hall_minus_nonhall,Relative contrast in T/(T+I): delta/(hall+grounded).,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_RelC_ratio_hall_minus_nonhall.json,L16H30,L16H30 L20H28 L20H30 L19H21 L20H27 L19H15 L20H0 L20H1 L19H19 L20H8 L19H6 L14H7 L20H3 L18H31 L18H18 L17H30 L17H13 L19H31 L19H8 L16H17
RelC_logtoi_hall_minus_nonhall,Relative contrast in log text-over-image.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_RelC_logtoi_hall_minus_nonhall.json,L16H30,L16H30 L20H30 L20H28 L19H15 L19H31 L18H31 L14H7 L19H21 L16H17 L19H6 L20H3 L15H5 L20H27 L20H12 L19H19 L20H0 L15H14 L17H13 L19H8 L17H30
RelC_image_drop,Relative image-attention drop on hallucinated object steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_RelC_image_drop.json,L19H7,L19H7 L18H23 L20H0 L19H10 L20H1 L19H31 L15H27 L20H28 L20H3 L20H29 L19H15 L20H30 L16H17 L20H11 L15H14 L17H11 L18H12 L15H13 L18H31 L18H15
Specific_text_delta_x_hall,Absolute text contrast gated by hallucinated-step text strength.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Specific_text_delta_x_hall.json,L14H16,L14H16 L13H10 L16H17 L15H28 L15H5 L20H12 L13H20 L18H9 L16H9 L14H7 L14H20 L13H19 L15H7 L19H13 L15H24 L18H31 L16H6 L16H2 L20H22 L16H4
Specific_ratio_delta_x_hall,Absolute ratio contrast gated by hallucinated-step ratio strength.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Specific_ratio_delta_x_hall.json,L16H30,L16H30 L19H31 L18H31 L14H7 L16H17 L20H30 L19H15 L15H5 L17H31 L20H12 L15H14 L15H19 L19H12 L14H1 L16H1 L16H13 L19H6 L20H3 L15H31 L13H19
Specific_logtoi_delta_x_hall,Absolute log text-over-image contrast gated by hallucinated-step strength.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Specific_logtoi_delta_x_hall.json,L14H20,L14H20 L18H23 L15H13 L14H16 L13H19 L19H13 L13H26 L18H9 L19H31 L16H2 L16H31 L15H28 L19H26 L15H31 L19H27 L16H17 L19H0 L15H22 L16H0 L17H17
Specific_text_threefactor,Text mass three-factor score: delta * relative contrast * hall strength.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Specific_text_threefactor.json,L13H19,L13H19 L14H7 L13H10 L14H16 L16H17 L13H20 L15H5 L13H7 L20H12 L15H7 L18H31 L18H9 L16H30 L16H4 L19H29 L15H28 L20H22 L15H24 L16H29 L19H13
Specific_ratio_threefactor,Ratio three-factor score: delta * relative contrast * hall strength.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Specific_ratio_threefactor.json,L16H30,L16H30 L20H30 L19H15 L18H31 L19H31 L14H7 L20H28 L16H17 L19H6 L19H21 L20H3 L15H5 L20H12 L15H14 L17H31 L15H19 L16H1 L19H8 L19H12 L17H13
Object_text_minus_all,Object-token text-prefix excess over all generated steps.,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_Object_text_minus_all.json,L19H0,L19H0 L16H21 L15H28 L16H12 L17H14 L17H24 L18H5 L16H15 L15H12 L18H2 L14H22 L13H29 L18H27 L17H17 L15H16 L16H11 L16H8 L18H0 L14H21 L13H0
