score_name,selection_method,front,back,verified_set,top20,top50,top100,verified_available,verified_total,missing_verified,top20_hits,top50_hits,top100_hits,top20_heads,path
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_git,7,11,17,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H24 L15H25 L16H9 L17H28 L18H9 L19H18,L14H16 L15H24 L15H25 L16H9 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L13H31 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29 L17H0 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L14H16 L14H20 L16H2 L15H25 L18H9 L15H4 L19H18 L16H17 L20H31 L16H6 L19H13 L13H17 L16H9 L17H28 L14H19 L15H13 L19H24 L15H24 L14H29 L15H22,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
global__itext_all__C_toi_HminusG,global,itext_all,C_toi_HminusG,verified_HH_yield,5,9,15,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H24 L15H25 L18H9 L19H18,L14H16 L15H24 L15H25 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L13H31 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H29 L17H0 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L14H16 L14H20 L16H2 L15H25 L18H9 L15H4 L19H18 L16H17 L20H31 L16H6 L19H13 L13H17 L16H9 L17H28 L14H19 L15H13 L19H24 L15H24 L14H29 L15H22,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_git,6,11,15,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L15H25 L17H28 L18H9 L19H18 L20H12,L14H16 L15H24 L15H25 L16H9 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L13H31 L14H16 L15H24 L15H25 L16H9 L16H29 L17H0 L17H28 L18H9 L18H26 L19H18 L19H27 L20H5 L20H12 L20H20,L14H16 L16H2 L15H25 L18H9 L19H18 L20H31 L13H17 L17H28 L14H20 L16H17 L15H4 L18H31 L19H13 L20H12 L13H10 L17H24 L14H19 L16H6 L15H13 L18H15,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
local__itext_all__C_toi_HminusG,local,itext_all,C_toi_HminusG,verified_HH_yield,5,9,13,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L15H25 L18H9 L19H18 L20H12,L14H16 L15H24 L15H25 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L13H31 L14H16 L15H24 L15H25 L16H29 L17H0 L18H9 L18H26 L19H18 L19H27 L20H5 L20H12 L20H20,L14H16 L16H2 L15H25 L18H9 L19H18 L20H31 L13H17 L17H28 L14H20 L16H17 L15H4 L18H31 L19H13 L20H12 L13H10 L17H24 L14H19 L16H6 L15H13 L18H15,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_git,2,4,10,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H14 L14H16,L14H14 L14H16 L16H9 L16H29,L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29 L19H18 L19H27,L14H16 L14H20 L14H19 L14H29 L14H22 L14H28 L14H26 L14H21 L14H24 L14H31 L14H7 L14H23 L14H3 L14H9 L14H13 L14H5 L14H0 L14H14 L14H8 L14H12,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_toi_HminusG,verified_HH_yield,2,4,10,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H14 L14H16,L14H4 L14H14 L14H16 L16H29,L14H4 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H29 L19H18 L19H27,L14H16 L14H20 L14H19 L14H29 L14H22 L14H28 L14H26 L14H21 L14H24 L14H31 L14H7 L14H23 L14H3 L14H9 L14H13 L14H5 L14H0 L14H14 L14H8 L14H12,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_toi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_git,6,9,14,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L16H9 L18H9 L19H27 L20H12 L20H20,L14H16 L15H24 L16H9 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20,L14H16 L15H10 L15H24 L15H25 L16H9 L16H29 L17H0 L17H28 L18H9 L19H18 L19H27 L20H5 L20H12 L20H20,L14H20 L14H16 L16H2 L18H23 L16H17 L19H13 L18H9 L16H9 L20H20 L16H31 L15H13 L16H6 L15H5 L19H27 L20H12 L19H5 L20H31 L15H22 L14H2 L15H4,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
global__itext_all__C_logtoi_HminusG,global,itext_all,C_logtoi_HminusG,verified_HH_yield,5,9,14,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L18H9 L19H27 L20H12 L20H20,L14H4 L14H16 L15H24 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20,L14H4 L14H16 L15H10 L15H24 L15H25 L16H29 L17H0 L18H9 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20,L14H20 L14H16 L16H2 L18H23 L16H17 L19H13 L18H9 L16H9 L20H20 L16H31 L15H13 L16H6 L15H5 L19H27 L20H12 L19H5 L20H31 L15H22 L14H2 L15H4,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_global__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_git,6,9,13,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L14H16 L16H9 L18H9 L19H27 L20H12 L20H20,L14H16 L15H24 L16H9 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20,L13H31 L14H16 L15H24 L16H9 L17H0 L17H28 L18H9 L18H26 L19H18 L19H27 L20H5 L20H12 L20H20,L14H20 L16H2 L18H23 L19H13 L20H20 L15H13 L17H9 L13H26 L14H16 L16H17 L18H9 L19H27 L20H12 L15H5 L17H10 L13H10 L14H2 L16H9 L18H31 L19H5,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
local__itext_all__C_logtoi_HminusG,local,itext_all,C_logtoi_HminusG,verified_HH_yield,5,9,13,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L14H16 L18H9 L19H27 L20H12 L20H20,L14H4 L14H16 L15H24 L17H0 L18H9 L19H27 L20H5 L20H12 L20H20,L13H31 L14H4 L14H16 L15H24 L17H0 L18H9 L18H26 L19H12 L19H18 L19H27 L20H5 L20H12 L20H20,L14H20 L16H2 L18H23 L19H13 L20H20 L15H13 L17H9 L13H26 L14H16 L16H17 L18H9 L19H27 L20H12 L15H5 L17H10 L13H10 L14H2 L16H9 L18H31 L19H5,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_local__itext_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_logtoi_HminusG,verified_HH_git,2,3,9,20,30,L12H10 L22H9 L22H20 L26H9 L26H28 L27H29 L29H8 L30H9 L31H3 L31H26,L16H9 L16H29,L14H16 L16H9 L16H29,L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H9 L16H29 L18H9,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H20 L16H13 L16H3 L16H21 L16H5 L16H0 L16H18 L16H10 L16H30 L16H27 L16H29 L16H15 L16H14 L16H22,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG.json
layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG,layerweighted_top5mean_alpha2,itext_all,C_logtoi_HminusG,verified_HH_yield,1,3,9,18,30,L12H10 L22H9 L22H17 L22H20 L26H9 L26H28 L27H29 L30H5 L30H9 L31H3 L31H26 L31H27,L16H29,L14H4 L14H16 L16H29,L14H4 L14H14 L14H16 L15H9 L15H10 L15H24 L15H25 L16H29 L18H9,L16H2 L16H17 L16H9 L16H31 L16H6 L16H4 L16H20 L16H13 L16H3 L16H21 L16H5 L16H0 L16H18 L16H10 L16H30 L16H27 L16H29 L16H15 L16H14 L16H22,./results_l13_l20/coco/llava-v1.5-7b_base_original_qa_n500_txtattn_l13_l20_allheads/surrogate_score_zoo/ranked_heads_layerweighted_top5mean_alpha2__itext_all__C_logtoi_HminusG.json
